date,open,close,high,low,volume,amount,amplitude,quote_change,ups_downs,turnover,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,macd,macds,macdh,lgl_macd60,lgl_first_max,lgl_first_min,lgl_first_downs_change,lgl_sec_max,lgl_sec_min,lgl_sec_downs_change
2023-02-24,9.75,9.65,9.82,9.62,148907,144238005.45,2.04,-1.63,-0.16,3.84,14.141414141414197,29.658805367522234,29.658805367522234,34.17441542595389,34.17441542595389,20.627585250658925,20.627585250658925,-0.058660877005962675,-0.03345713955430367,-0.025203737451659006,0,0,0,0,0,0,0
2023-02-27,9.67,9.45,9.72,9.43,132073,125659434.09,3.01,-2.07,-0.2,3.41,1.8691588785046325,20.39558987118303,20.39558987118303,29.581473574363603,29.581473574363603,2.023822464821883,2.023822464821883,-0.08770013921112074,-0.044310141986482254,-0.04338999722463849,0,0,0,0,0,0,0
2023-02-28,9.52,9.58,9.64,9.42,125081,119369257.83,2.33,1.38,0.13,3.23,14.814814814814827,18.535331519060296,18.535331519060296,25.89942622259583,25.89942622259583,3.8071421119892292,3.8071421119892292,-0.09962942929875851,-0.055377591041497524,-0.044251838257260985,0,0,0,0,0,0,0
2023-03-01,9.58,9.9,9.94,9.55,255831,250330611.42,4.07,3.34,0.32,6.6,44.44444444444448,27.171702494188356,27.171702494188356,26.32351831312667,26.32351831312667,28.868070856311732,28.868070856311732,-0.08364640855697658,-0.06103282272667901,-0.022613585830297572,0,0,0,0,0,0,0
2023-03-02,9.87,9.8,9.93,9.77,158570,155923067.91,1.62,-1.01,-0.1,4.09,45.23809523809534,33.19383340882401,33.19383340882401,28.613623345025783,28.613623345025783,42.354253536420465,42.354253536420465,-0.07776212817385719,-0.06437937886863235,-0.013382749305224845,0,0,0,0,0,0,0
2023-03-03,9.84,9.78,9.86,9.7,116056,113343820.25,1.63,-0.2,-0.02,3.0,42.8571428571428,36.414936558263605,36.414936558263605,31.21406108277172,31.21406108277172,46.81668750924737,46.81668750924737,-0.07378632000338392,-0.06626107974676852,-0.007525240256615398,0,0,0,0,0,0,0
2023-03-06,9.78,9.68,9.82,9.64,97334,94546146.91,1.84,-1.02,-0.1,2.51,36.11111111111105,36.313661409212756,36.313661409212756,32.913927858252066,32.913927858252066,43.113128511134136,43.113128511134136,-0.07746652104029472,-0.06850246593680107,-0.008964055103493657,0,0,0,0,0,0,0
2023-03-07,9.73,9.89,9.96,9.6,299154,293935126.21,3.72,2.17,0.21,7.72,65.27777777777781,45.96836686540111,45.96836686540111,37.26540752730175,37.26540752730175,63.374285541599846,63.374285541599846,-0.0633647424522259,-0.06747481196097127,0.004110069508745373,0,0,0,0,0,0,0
2023-03-08,9.8,10.26,10.48,9.73,525633,533228228.55,7.58,3.74,0.37,13.57,79.24528301886788,57.06067224989003,57.06067224989003,43.86382910149784,43.86382910149784,83.4543585466744,83.4543585466744,-0.02315762652593989,-0.05861062079197704,0.03545299426603715,0,0,0,0,0,0,0
2023-03-09,10.16,10.07,10.2,9.92,308008,309357420.19,2.73,-1.85,-0.19,7.95,61.32075471698114,58.48069973892039,58.48069973892039,48.736119313972026,48.736119313972026,77.96986058881711,77.96986058881711,-0.006057841957723298,-0.048099349665082614,0.042041507707359316,0,0,0,0,0,0,0
